ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1472,35.52663208,-0.145399357,0.001882375,,,,,X,,,,,,,"Right next to another YB, on filament"
1473,35.54945546,-0.358344939,0.003142806,,,,,,,,,X,,,
1474,35.554836,0.014510223,0.001593687,,,,,,,,,,X,,
1475,35.56260359,0.078355075,0.002272599,,X,,,,,,,,,,
1476,35.57326042,0.069627955,0.002064066,,,X,,,,,,,,,
1477,35.57762786,-0.585209485,0.004814007,X,,,,,,,,,,,
1478,35.57796727,-0.029885579,0.005585403,,,,,,,X,,,,,
1479,35.57797752,0.048704242,0.004529471,,,,,X,,,,,,,
1480,35.59756163,-0.114823721,0.002523293,,X,,,,,,,,,,
1481,35.60148757,-0.203350331,0.002367778,,,,,X,,,,,,,
1482,35.63971046,0.294687516,0.002859682,,,,,,,,,,X,,right next to another source
1483,35.67340703,-0.245525116,0.002943784,,,,,,,,X,,,,
1484,35.67899916,0.301923425,0.003762275,,,,,,,,,,X,,
1485,35.72105125,-0.929696314,0.001917125,,,,,,,,X,,,,
1486,35.7459999,0.157549607,0.003910112,X,,,,,,,,,,,
1487,35.82308667,-0.869061956,0.003828818,,,,,,,,,,X,,next to two other sources
1488,35.83050963,-0.193046943,0.004176831,,,,,,,,,,X,,
1489,35.84026105,-0.147084893,0.002160348,,,,,,,X,,X,,,faint point source plus
1490,35.94843722,-0.14748945,0.002541143,,,,,,,,,,X,,
1491,36.03871208,0.264916216,0.004925167,,,,,,,,,,X,,
1492,36.17462896,-0.305692429,0.004078708,,,,,,,X,,,,,
1493,36.22184678,0.072993682,0.001910232,,,,,,,,X,,,,
1494,36.33659543,-0.213205052,0.003656687,,,,,,,X,,,,,
1495,36.35661686,-0.700599831,0.00441895,,,,,,,,X,,,,
1496,36.37207953,0.642316304,0.002298638,,,,,,,,,X,,,
1497,36.37995026,0.797446513,0.003389462,,,,,,,,,,X,,
1498,36.38311086,0.793029739,0.003303684,,,,,,,X,,,,,
1499,36.38923861,0.385458073,0.001932616,,,,,,,,X,,,,
1500,36.40597411,0.023951573,0.004640665,,,,,,,,X,,,,
1501,36.40767677,0.130764663,0.003308619,,,,,,,,,,X,,
1502,36.47968916,0.086642406,0.002439124,,,,,,,,,,X,,
1503,36.47999364,-0.271865125,0.002686265,,,,,,,,,,X,,
1504,36.49806426,0.732175496,0.002345394,,,,,,,,X,,,,
1505,36.51376806,0.98642074,0.002803451,,,,,,,,,,X,,
1506,36.55360562,-0.543719584,0.00376597,,,,,,,,,,X,,
